Bug #,Title,Milestone,Status,Importance,Assignee
 
1413104,Large number of TIME_WAIT connections from haproxy cause stalled API service requests,6.1,Triaged,Critical,fuel-library
1413690,[image based provisioning] SSH allows password authorization on image provisioned nodes,6.1,In Progress,Critical,a-gordeev
1397312,hard coded fuel/kernel versions mapping in preseed,6.1,Triaged,Critical,fuel-library
1413593,deployment  execution expired on BVT staging centos,6.1,In Progress,Critical,asilenkov
1258347,[volumes-refactoring] Can't exclude a volume from the boot md (raid 1),6.1,Confirmed,High,fuel-python
1278964,[library] DB grew large within 1 week, filled root filesystem,6.1,Triaged,High,kozhukalov
1306792,[volumes-refactoring] Fuel Default Disk Partion Scheme is very sub-optimal,6.1,Confirmed,High,kozhukalov
1371757,Deployment Fails when /var is Full. ,6.1,In Progress,High,pkaminski
1372547,[nailgun][library] PCI-express SSD drives are not supported,6.1,Confirmed,High,kozhukalov
1394864,default partitioning doing bad on small HDD/SSD/Other drives,6.1,Triaged,High,fuel-python
1398817,When scale up, new computes should be disabled by default,6.1,Triaged,High,fuel-astute
1399240,Unable to do live block-migration,6.1,Triaged,High,fuel-library
1400355,Restore built-in OpenVSwitch kernel module for Centos,6.1,Confirmed,High,fuel-library
1406286,cloud-init works unstable in Neutron GRE HA,6.1,Confirmed,High,fuel-library
1410280,PXE doesn't working for HP DL380 with broadcom cards,6.1,Triaged,High,fuel-library
1410333,Master node cannot be correctly installed from USB flash drives,6.1,Triaged,High,kozhukalov
1410471,[image based provisioning] incorrect "device is busy" handling for non-RAID devices,6.1,In Progress,High,a-gordeev
1410517,Deploying Cinder VMDK doesn't set up cinder-volume,6.1,Confirmed,High,xarses
1261940,Node deploy should fail when network on node doesn't work,6.1,Triaged,High,fuel-library
1405549,Keystone become extremely slow after controller shutdown,6.1,Triaged,High,fuel-library
1313662,[library] Performance issue in Keystone: let's use httpd / apache,6.1,Triaged,High,fuel-library
1318614,[provision] Set XFS partition size to default (4k),6.1,Confirmed,High,kozhukalov
1333458,[library] Docker loads images very slow,6.1,Triaged,High,raytrac3r
1343136,[astute] puppet logs without enabled "Openstack debug" non-informative.,6.1,Confirmed,High,vsharshov
1343139,[upgrade] upgrade procedure should update agent/mc agent/network checker,6.1,Confirmed,High,fuel-python
1347718,[library] Inappropriate status of cluster after restore in Fuel UI/cli and Openstack horizon/cli.,6.1,Confirmed,High,raytrac3r
1348331,upgrade: new envs uses old kerlenl images during provisioning,6.1,Triaged,High,fuel-python
1355180,rollback will fail - migration rollback is impossible - need to backup databases,6.1,Confirmed,High,ikalnitsky
1364081,Packages versions issue after env 5.0 is upgraded to 5.1,6.1,In Progress,High,idv1985
1365635,[library][patching] during patching failed resources are not migrated from the node,6.1,In Progress,High,idv1985
1368514,OpenStack nodes lose DNS and NTP on Fuel master node outage,6.1,In Progress,High,omolchanov
1368655,Virtual router is required,6.1,Triaged,High,omolchanov
1371799,Ceilometer Mongo DB backend cannot failover,6.1,Confirmed,High,fuel-library
1375683,Package for Ceph Nailgun plugin is needed,6.1,Confirmed,High,dkaiharodsev
1378500,Network verification process is very long for 100 nodes,6.1,In Progress,High,loles
1381059,Sometime CentOS node hangs on hw init,6.1,Confirmed,High,tzn
1382511,Huge snapshot on the big env,6.1,Confirmed,High,fuel-python
1383498,Provisioning should use chunks by default, similarly to deployment,6.1,Confirmed,High,fuel-astute
1383748,Provisioning progress bar doesn't work if image based provisioning,6.1,In Progress,High,fuel-astute
1384623,HTTP Error 504: Gateway Time-out during deploy 100 nodes cluster via API,6.1,Confirmed,High,ksambor
1391244,New version of python-virtualenv needed,6.1,In Progress,High,sotpuschennikov
1391553,[nailgun] Add tests to cover database migrations,6.1,Confirmed,High,fuel-python
1392783,[statistics] info on incomplete tasks should not be sent to collector,6.1,Confirmed,High,alekseyk-ru
1393148,nailgun-api log is too verbose,6.1,In Progress,High,ivankliuk
